,smarties,,,,,,,checkerboard,,,,,,,blades,,,,,,,grid,,,,,,,pebbles,,,,,,,ink,,,,,,,rough,,,,,,,chicago,,,,,,,noise,,,,,,,green marble,,,,,,,orange marble,,,,,,,straw,,,,,,
user,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF,reference,quilting,resynthesizer,self tuning,LazyFluids,Ashikhmin,CNNMRF
45,1,3,5,2,4,7,6,1,3,4,2,5,6,7,4,5,3,1,2,6,7,1,3,4,2,5,6,7,2,1,4,5,3,6,7,1,6,3,4,2,7,5,1,3,2,5,4,6,7,5,3,2,1,4,6,7,1,2,3,6,4,5,7,5,1,2,4,3,6,7,7,5,1,3,2,4,6,5,4,3,1,2,6,7
46,1,3,2,5,4,7,6,2,3,4,1,5,7,6,2,5,1,7,3,4,6,1,4,6,2,5,7,3,3,5,1,2,4,6,7,4,7,3,2,1,6,5,3,2,4,5,1,7,6,3,2,1,4,5,6,7,1,3,4,6,7,5,2,1,4,5,3,2,6,7,1,7,5,4,3,6,2,4,2,5,1,3,6,7
47,3,1,2,5,4,6,7,1,3,4,2,5,6,7,4,5,6,2,3,7,1,1,2,5,3,4,7,6,4,5,2,3,1,6,7,1,6,4,3,2,7,5,4,3,6,5,2,7,1,5,4,1,2,3,6,7,5,3,4,1,2,7,6,1,5,4,2,3,6,7,1,5,6,4,2,7,3,1,2,4,3,5,6,7
48,1,4,5,2,3,7,6,1,4,3,2,5,7,6,3,5,4,2,1,6,7,1,2,5,3,4,7,6,1,5,4,3,2,6,7,2,5,3,4,1,6,7,2,1,4,5,3,6,7,5,2,3,1,4,6,7,3,4,5,1,2,6,7,4,5,3,2,1,6,7,5,7,2,3,4,6,1,5,2,3,4,1,6,7
49,1,3,2,4,5,6,7,5,3,2,1,4,6,7,5,4,2,1,3,6,7,1,2,5,3,4,7,6,4,5,6,2,1,7,3,4,5,1,3,2,6,7,2,3,6,4,5,7,1,5,3,4,7,1,6,2,4,2,3,6,5,7,1,4,1,5,2,3,6,7,4,7,3,5,1,6,2,7,4,3,1,2,5,6
50,1,3,2,5,4,6,7,1,3,4,2,5,6,7,2,5,4,3,1,6,7,1,3,5,2,4,7,6,5,4,2,1,3,7,6,5,7,2,1,3,4,6,6,1,5,4,2,7,3,5,1,2,3,4,6,7,2,3,1,7,5,6,4,5,4,1,2,3,7,6,4,5,2,1,3,7,6,5,4,2,3,1,6,7
51,3,6,7,5,4,2,1,7,4,5,6,3,1,2,3,5,7,2,6,4,1,7,6,3,5,4,1,2,4,3,7,6,5,2,1,4,3,7,5,6,2,1,7,3,4,5,6,2,1,3,4,7,6,5,2,1,3,7,2,5,6,4,1,2,4,7,6,5,3,1,3,1,5,7,6,4,2,2,4,6,7,3,5,1
52,1,3,2,5,4,7,6,1,4,3,2,5,7,6,2,4,6,5,3,1,7,1,2,4,3,5,7,6,1,4,6,3,2,5,7,1,7,5,2,3,4,6,2,1,3,4,5,6,7,1,5,3,4,2,6,7,2,6,4,1,3,5,7,1,5,6,3,2,4,7,2,3,5,4,1,6,7,1,5,4,3,2,6,7
53,1,2,3,4,5,7,6,1,3,4,2,5,7,6,3,6,2,1,4,5,7,1,3,5,2,4,7,6,3,2,4,6,1,5,7,5,7,2,1,3,4,6,5,3,1,4,2,6,7,1,3,2,5,4,6,7,3,1,4,5,2,6,7,1,5,4,2,3,7,6,1,7,6,3,2,4,5,6,4,3,1,2,5,7
54,7,6,3,5,4,2,1,7,5,4,6,3,1,2,7,3,4,5,6,2,1,7,5,4,6,3,2,1,5,3,7,6,4,2,1,6,3,4,5,7,1,2,4,5,7,6,3,2,1,7,3,6,4,5,2,1,5,4,2,6,7,3,1,7,3,4,5,6,2,1,5,1,3,7,2,4,6,5,7,4,3,2,6,1
55,1,3,2,4,5,6,7,1,3,4,2,5,6,7,3,5,2,1,4,6,7,1,2,5,3,4,6,7,1,2,5,4,3,6,7,1,6,3,2,4,5,7,3,1,2,5,4,6,7,1,4,2,3,5,6,7,3,4,1,2,5,6,7,1,6,4,2,3,5,7,2,7,5,4,1,6,3,1,3,6,5,4,2,7
56,4,7,5,1,2,6,3,7,5,4,6,3,1,2,3,5,2,6,4,1,7,4,3,2,6,1,7,5,1,3,4,5,2,6,7,2,4,1,3,7,5,6,3,4,1,2,7,5,6,6,4,2,1,3,5,7,4,1,3,6,7,2,5,5,3,2,4,1,7,6,3,4,5,2,1,7,6,3,4,1,2,5,7,6
57,1,2,3,4,5,6,7,1,2,4,3,5,6,7,6,3,1,5,2,4,7,2,1,5,3,4,6,7,5,4,2,1,3,6,7,4,6,1,2,3,5,7,3,1,5,2,4,6,7,5,4,2,1,3,6,7,5,4,3,1,6,2,7,2,5,3,1,4,6,7,5,7,3,1,2,6,4,1,3,6,4,5,2,7
58,3,1,2,7,6,4,5,7,6,4,3,2,1,5,5,2,7,6,1,3,4,1,5,6,7,3,2,4,6,2,3,4,1,7,5,6,3,4,2,1,5,7,5,1,3,7,4,2,6,4,5,3,7,1,2,6,3,2,7,6,5,1,4,6,3,1,4,2,7,5,6,1,2,7,5,3,4,7,3,6,5,1,4,2
59,1,3,2,4,5,6,7,1,3,4,2,5,6,7,1,5,4,2,3,6,7,2,3,5,1,4,7,6,1,3,6,5,2,4,7,4,5,3,2,1,6,7,5,3,4,1,2,6,7,3,5,2,1,4,6,7,1,5,3,4,2,6,7,5,4,3,1,2,6,7,5,6,2,1,3,7,4,6,2,5,1,3,4,7
60,1,3,2,4,5,6,7,1,3,4,2,5,6,7,4,6,1,3,2,5,7,1,2,5,3,4,6,7,4,5,1,2,3,6,7,1,7,4,5,3,6,2,5,1,4,3,2,6,7,1,2,3,4,5,6,7,4,5,6,2,1,3,7,1,2,5,3,4,6,7,1,7,4,6,2,5,3,1,2,5,3,6,4,7
61,1,5,7,4,2,6,3,1,3,4,2,6,7,5,3,4,5,2,1,6,7,2,1,4,3,5,6,7,1,4,5,2,3,6,7,2,6,3,1,4,5,7,4,5,2,3,1,6,7,1,4,2,3,5,6,7,3,1,2,5,4,7,6,4,6,2,3,1,5,7,2,7,6,4,1,5,3,3,6,4,1,2,5,7
62,1,4,3,2,5,6,7,1,5,3,2,4,6,7,3,5,1,6,4,2,7,1,2,5,3,4,6,7,1,2,5,3,4,6,7,2,6,5,3,1,4,7,3,4,5,2,1,7,6,1,2,3,4,5,6,7,1,4,5,3,2,6,7,1,5,3,4,2,6,7,1,7,6,5,3,4,2,6,2,4,5,3,1,7
63,1,2,3,4,6,5,7,1,6,4,5,2,7,3,2,7,1,6,4,3,5,4,6,7,2,3,1,5,4,2,1,7,5,3,6,4,5,7,3,2,1,6,7,1,5,6,3,4,2,6,3,4,2,1,5,7,2,3,6,4,5,7,1,2,5,6,1,3,4,7,6,4,2,3,5,1,7,2,7,5,3,6,4,1
64,1,2,3,4,5,6,7,1,3,4,2,5,7,6,3,4,2,5,1,6,7,3,2,5,1,4,7,6,4,5,1,2,3,6,7,3,7,2,4,1,5,6,5,1,3,4,2,6,7,5,3,1,2,4,6,7,5,1,3,2,4,6,7,3,4,6,1,2,5,7,7,2,1,3,5,4,6,1,3,2,5,4,6,7
65,1,3,2,4,5,6,7,1,3,4,2,5,6,7,5,2,3,4,6,1,7,2,4,6,5,3,1,7,5,6,3,2,4,7,1,2,1,4,6,5,3,7,5,2,1,3,4,6,7,1,3,2,4,5,6,7,5,6,3,2,4,7,1,7,5,3,6,4,2,1,1,5,6,4,2,7,3,6,3,4,5,2,7,1
66,1,4,3,5,2,6,7,1,4,3,2,5,6,7,4,1,2,3,5,6,7,1,2,5,3,4,6,7,1,5,2,3,4,6,7,1,7,4,3,2,5,6,1,5,2,4,3,6,7,5,4,2,1,3,6,7,2,3,5,4,1,6,7,1,6,3,2,4,5,7,1,7,6,4,3,2,5,6,2,4,3,1,5,7
67,1,4,5,3,2,6,7,1,3,5,2,4,6,7,1,6,4,3,2,5,7,1,3,5,2,4,6,7,4,5,2,3,1,7,6,4,6,2,3,1,5,7,2,3,4,5,1,7,6,2,4,1,3,5,6,7,6,3,4,1,2,5,7,4,5,2,1,3,6,7,5,3,2,1,4,7,6,1,3,4,2,5,6,7
